DATE,TOTALSL
1989-11-01,790.29725
1989-12-01,794.61218
1990-01-01,797.71486
1990-02-01,798.77319
1990-03-01,798.74809
1990-04-01,798.74701
1990-05-01,799.75103
1990-06-01,802.89274
1990-07-01,806.8875
1990-08-01,808.75857
1990-09-01,810.43623
1990-10-01,812.65511
1990-11-01,813.66266
1990-12-01,808.23057
1991-01-01,806.6005
1991-02-01,807.03043
1991-03-01,808.35183
1991-04-01,807.81895
1991-05-01,807.83216
1991-06-01,805.99466
1991-07-01,804.02756
1991-08-01,802.02192
1991-09-01,800.88934
1991-10-01,798.61698
1991-11-01,798.27498
1991-12-01,798.02897
1992-01-01,798.98271
1992-02-01,799.64038
1992-03-01,799.44211
1992-04-01,797.65814
1992-05-01,797.6679
1992-06-01,797.27631
1992-07-01,798.06816
1992-08-01,799.8238
1992-09-01,800.1989
1992-10-01,799.55599
1992-11-01,802.69798
1992-12-01,806.11869
1993-01-01,809.32543
1993-02-01,814.05892
1993-03-01,813.65629
1993-04-01,819.75694
1993-05-01,819.75905
1993-06-01,823.81181
1993-07-01,829.51873
1993-08-01,834.23553
1993-09-01,840.60298
1993-10-01,847.61663
1993-11-01,856.52342
1993-12-01,865.65058
1994-01-01,872.02182
1994-02-01,880.35286
1994-03-01,891.33316
1994-04-01,900.98953
1994-05-01,912.8637
1994-06-01,924.21602
1994-07-01,931.13474
1994-08-01,944.80317
1994-09-01,957.3756
1994-10-01,968.46871
1994-11-01,981.42611
1994-12-01,997.30174
1995-01-01,1010.39504
1995-02-01,1018.55911
1995-03-01,1033.63209
1995-04-01,1043.69517
1995-05-01,1057.47083
1995-06-01,1069.37791
1995-07-01,1077.7370
1995-08-01,1089.60205
1995-09-01,1106.61268
1995-10-01,1113.52851
1995-11-01,1132.16017
1995-12-01,1140.74436
1996-01-01,1153.2703
1996-02-01,1163.09378
1996-03-01,1171.68426
1996-04-01,1180.9031
1996-05-01,1191.11369
1996-06-01,1200.95002
1996-07-01,1211.89736
1996-08-01,1220.5030
1996-09-01,1225.27176
1996-10-01,1231.3361
1996-11-01,1242.42191
1996-12-01,1253.43709
1997-01-01,1258.36528
1997-02-01,1261.85081
1997-03-01,1264.14634
1997-04-01,1274.08738
1997-05-01,1278.67842
1997-06-01,1282.85852
1997-07-01,1288.78203
1997-08-01,1294.21924
1997-09-01,1301.63497
1997-10-01,1309.38939
1997-11-01,1312.45718
1997-12-01,1324.75733
1998-01-01,1320.04402
1998-02-01,1324.34272
1998-03-01,1332.90344
1998-04-01,1360.45629
1998-05-01,1363.08086
1998-06-01,1373.94233
1998-07-01,1380.72085
1998-08-01,1386.66645
1998-09-01,1397.28973
1998-10-01,1405.39666
1998-11-01,1408.44269
1998-12-01,1420.99644
1999-01-01,1431.23693
1999-02-01,1441.31459
1999-03-01,1450.87882
1999-04-01,1457.67057
1999-05-01,1468.14661
1999-06-01,1479.31532
1999-07-01,1492.3776
1999-08-01,1503.22661
1999-09-01,1511.05926
1999-10-01,1517.28183
1999-11-01,1525.33442
1999-12-01,1531.10596
2000-01-01,1538.52018
2000-02-01,1549.18529
2000-03-01,1561.45069
2000-04-01,1570.52774
2000-05-01,1583.50792
2000-06-01,1609.54804
2000-07-01,1629.75144
2000-08-01,1651.6154
2000-09-01,1669.00081
2000-10-01,1684.59932
2000-11-01,1700.94454
2000-12-01,1716.96972
2001-01-01,1729.85168
2001-02-01,1748.70202
2001-03-01,1760.54184
2001-04-01,1773.09833
2001-05-01,1781.17746
2001-06-01,1792.36809
2001-07-01,1797.35057
2001-08-01,1806.35904
2001-09-01,1814.25238
2001-10-01,1829.84026
2001-11-01,1857.84279
2001-12-01,1867.85287
2002-01-01,1867.41869
2002-02-01,1881.90537
2002-03-01,1894.69033
2002-04-01,1903.95799
2002-05-01,1914.61399
2002-06-01,1927.18098
2002-07-01,1939.2114
2002-08-01,1947.50009
2002-09-01,1950.65139
2002-10-01,1957.1513
2002-11-01,1965.17913
2002-12-01,1972.11221
2003-01-01,1982.56131
2003-02-01,1993.40569
2003-03-01,2001.20815
2003-04-01,2014.09978
2003-05-01,2027.50251
2003-06-01,2033.26841
2003-07-01,2040.06439
2003-08-01,2049.12434
2003-09-01,2057.09079
2003-10-01,2065.4951
2003-11-01,2066.40009
2003-12-01,2077.36069
2004-01-01,2088.24304
2004-02-01,2095.34036
2004-03-01,2109.72032
2004-04-01,2112.71615
2004-05-01,2120.83915
